id;judulgame;genre;platform;tanggal;publisher;bahasa;sinopsis
240;R-Type Final;Shoot 'em up, Sci-Fi;PlayStation 2;5 Februari 2004;Irem;Inggris;Game penembak side-scrolling klasik yang mengembalikan kapal R-9 dalam perang melawan ras alien Bydo.
241;Def Jam: Fight for NY;Fighting, Hip-Hop;PlayStation 2, Xbox, GameCube;20-Sep-04;EA Games;Inggris;Game pertarungan brutal dengan karakter rapper ternama seperti Snoop Dogg dan Ludacris dalam arena jalanan.
242;WWE SmackDown! Here Comes the Pain;Wrestling, Sports;PlayStation 2;27 Oktober 2003;THQ;Inggris;Salah satu game wrestling terbaik era PS2, menampilkan roster besar dan mode karier yang mendalam.
243;Legacy of Kain: Defiance;Action, Adventure;PlayStation 2, Xbox, PC;11-Nov-03;Eidos Interactive;Inggris;Raziel dan Kain kembali dalam kisah gelap dan penuh intrik dunia Nosgoth, dengan gameplay dua karakter dan pertarungan supernatural.
244;Prince of Persia: Warrior Within;Action, Adventure;PlayStation 2, Xbox, GameCube, PC;2 Desember 2004;Ubisoft;Inggris;Sang Pangeran melawan takdirnya dengan gaya bertarung lebih brutal dan suasana yang lebih gelap dibanding pendahulunya.
245;Gran Turismo 4 Prologue;Racing, Simulation;PlayStation 2;4 Desember 2003;Sony Computer Entertainment;Inggris;Versi awal dari Gran Turismo 4 yang menampilkan berbagai mobil dan trek balap realistis.
246;XIII;FPS, Comic-style;PlayStation 2, Xbox, GameCube, PC;18-Nov-03;Ubisoft;Inggris;Game penembak unik dengan visual cel-shaded dan cerita spionase penuh misteri tentang amnesia dan konspirasi pemerintah.
247;Freedom Fighters;Action, Shooter;PlayStation 2, Xbox, GameCube, PC;26-Sep-03;EA Games;Inggris;New York dikuasai pasukan Soviet, dan Anda adalah tukang ledeng yang memimpin pemberontakan dalam dunia alternatif ini.
248;Tokyo Xtreme Racer 3;Racing, Arcade;PlayStation 2;28 Oktober 2003;Crave Entertainment;Inggris;Balapan malam hari di jalanan Tokyo, Osaka, dan Nagoya dengan mobil tuning khas Jepang.
249;Silent Line: Armored Core;Mecha, Action;PlayStation 2;18 Maret 2003;FromSoftware;Inggris;Kelanjutan dari Armored Core 3, menambahkan fitur AI dan kustomisasi robot tempur raksasa.
250;Jet Li: Rise to Honor;Action, Beat 'em up;PlayStation 2;17 Februari 2004;Sony Computer Entertainment;Inggris;Jet Li berperan sebagai agen rahasia dalam game aksi sinematik dengan sistem pertarungan 360 derajat.
251;Katamari Damacy;Puzzle, Action;PlayStation 2;21 Maret 2004 (JP);Namco;Inggris;Game unik di mana pemain menggulung benda-benda untuk membentuk bola raksasa, menyatukan kekacauan menjadi kosmos.
252;Neo Contra;Shooter, Run and Gun;PlayStation 2;28-Sep-04;Konami;Inggris;Game aksi penuh ledakan dan pertempuran futuristik, bagian dari seri legendaris Contra.
253;Bujingai: The Forsaken City;Action, Hack and Slash;PlayStation 2;22 Juli 2004 (JP);Taito;Inggris;Game aksi stylish berlatar masa depan, menampilkan pertarungan pedang cepat ala Wuxia dan protagonis yang diperankan Gackt.
254;EyeToy: Play;Party, Motion Game;PlayStation 2;4 Juli 2003;Sony Computer Entertainment;Inggris;Game interaktif menggunakan kamera EyeToy, memungkinkan pemain menggunakan gerakan tubuh untuk bermain mini-game.
255;Manhunt;Stealth, Horror;PlayStation 2, Xbox, PC;18-Nov-03;Rockstar Games;Inggris;Seorang narapidana dipaksa bertahan hidup dalam reality show ilegal dengan kekerasan ekstrem.
256;Disgaea: Hour of Darkness;Strategy RPG;PlayStation 2;27 Agustus 2003;Nippon Ichi Software;Inggris;Pangeran iblis Laharl bangkit dari tidur panjang untuk merebut kembali tahta dari dunia bawah.
257;The Getaway: Black Monday;Action, Adventure;PlayStation 2;12-Nov-04;Sony Computer Entertainment;Inggris;Sekuel dari The Getaway, game ini mengeksplorasi dunia kejahatan London dari tiga perspektif karakter.
258;Ape Escape 2;Platformer, Adventure;PlayStation 2;30 Juli 2003;Sony Computer Entertainment;Inggris;Tangkap monyet-monyet nakal yang kabur dengan bantuan gadget unik dalam petualangan lucu dan penuh aksi.
259;Suikoden IV;RPG;PlayStation 2;17 Agustus 2004 (JP);Konami;Inggris;Game keempat dalam seri RPG klasik, menghadirkan konflik politik dan armada laut di dunia fantasi.
260;Fatal Frame II: Crimson Butterfly;Survival Horror;PlayStation 2, Xbox;27-Nov-03;Tecmo;Inggris;Sepasang saudari menjelajahi desa hantu dan menggunakan kamera mistis untuk melawan arwah.
261;Red Dead Revolver;Action, Shooter, Western;PlayStation 2, Xbox;4 Mei 2004;Rockstar Games;Inggris;Game tembak-tembakan bergaya koboi Wild West yang menjadi cikal bakal seri Red Dead Redemption.
262;Phantom Brave;Strategy RPG;PlayStation 2;12 Agustus 2004;Nippon Ichi Software;Inggris;Seorang gadis muda dan roh penjaganya menyelamatkan dunia dalam game strategi dengan sistem pertempuran bebas grid.
263;Drakengard;Action RPG;PlayStation 2;11 Maret 2004;Square Enix;Inggris;Game aksi-RPG dengan pertarungan darat dan udara menggunakan naga, penuh tema gelap dan misteri.
264;Valkyrie Profile: Silmeria;RPG, Adventure;PlayStation 2;22 Desember 2004 (JP);Square Enix;Inggris;Mengisahkan petualangan Silmeria, seorang valkyrie yang memberontak melawan kehendak para dewa dalam dunia mitologi Nordik.
265;Kill.Switch;Third-Person Shooter;PlayStation 2, Xbox, PC;28 Oktober 2003;Namco;Inggris;Game inovatif dengan sistem cover shooter, di mana pemain menjadi tentara bayaran dengan misi rahasia.
266;Psi-Ops: The Mindgate Conspiracy;Action, Shooter;PlayStation 2, Xbox, PC;14 Juni 2004;Midway Games;Inggris;Gunakan kekuatan psikis seperti telekinesis dan mind control untuk menyusup ke organisasi rahasia.
267;Summoner 2;RPG, Action;PlayStation 2;16-Sep-03;THQ;Inggris;Seorang ratu yang juga seorang summoner berjuang menyelamatkan dunia dari kekacauan magis.
268;Zone of the Enders: The 2nd Runner;Mecha, Action;PlayStation 2;13 Februari 2003 (JP);Konami;Inggris;Bertarung di luar angkasa dengan robot tempur cepat dan narasi yang intens, dari Hideo Kojima.
269;Gladius;Strategy, RPG;PlayStation 2, Xbox, GameCube;28 Oktober 2003;LucasArts;Inggris;Latih dan pimpin tim gladiator dalam pertempuran taktis di dunia yang terinspirasi oleh Romawi kuno.
270;Arc the Lad: Twilight of the Spirits;RPG;PlayStation 2;25 Juni 2003;Sony Computer Entertainment;Inggris;Cerita dua saudara yang bertolak belakang, terjebak dalam konflik antar bangsa dan ras.
271;Chaos Legion;Action, Hack and Slash;PlayStation 2, PC;17 Juli 2003 (JP);Capcom;Inggris;Gunakan pasukan legiun untuk menghadapi musuh dalam pertarungan epik dan atmosfer gelap.
272;Blood Will Tell: Tezuka Osamu's Dororo;Action, Adventure;PlayStation 2;22-Sep-04;Sega;Inggris;Adaptasi dari manga klasik, pemain mengendalikan samurai yang berusaha merebut kembali bagian tubuhnya dari 48 iblis.
273;Sly 2: Band of Thieves;Platformer, Stealth;PlayStation 2;14-Sep-04;Sony Computer Entertainment;Inggris;Lanjutkan petualangan Sly Cooper dan tim pencurinya dalam misi mencuri bagian Clockwerk di seluruh dunia.
274;Mega Man X7;Action, Platformer;PlayStation 2;17 Juli 2003 (JP);Capcom;Inggris;Petualangan Mega Man dan Zero melawan Reploid jahat dalam transisi ke gameplay 3D untuk pertama kalinya.
275;X-Men Legends;Action RPG;PlayStation 2, Xbox, GameCube;21-Sep-04;Activision;Inggris;Kendalikan tim mutan X-Men untuk bertarung dan bekerja sama dalam game RPG dengan mode kooperatif.
276;Pac-Man World 2;Platformer;PlayStation 2, GameCube, Xbox;24 Februari 2004;Namco;Inggris;Pac-Man kembali dalam game platform 3D untuk menyelamatkan dunia dari kegelapan hantu.
277;Tenchu: Wrath of Heaven;Stealth, Action;PlayStation 2;3 Maret 2003;FromSoftware / Activision;Inggris;Mainkan sebagai ninja bayangan yang menghabisi musuh dalam misi diam-diam penuh ketegangan di Jepang feodal.
278;Medal of Honor: Rising Sun;First-Person Shooter;PlayStation 2, Xbox, GameCube;11-Nov-03;Electronic Arts;Inggris;Berlatar Perang Dunia II di Pasifik, pemain melawan tentara Jepang dalam misi sejarah yang intens.
279;Dynasty Warriors 4;Hack and Slash;PlayStation 2, Xbox;13 Maret 2003;Koei;Inggris;Lawan ribuan pasukan dalam pertempuran epik zaman Tiga Kerajaan Cina dengan berbagai karakter sejarah.
280;The Suffering;Horror, Action;PlayStation 2, Xbox, PC;8 Maret 2004;Midway Games;Inggris;Seorang tahanan harus bertahan di penjara yang dihantui makhluk mengerikan dan menghadapi masa lalunya.
281;Catwoman;Action, Adventure;PlayStation 2, Xbox, GameCube;20 Juli 2004;Electronic Arts;Inggris;Adaptasi dari film Catwoman, pemain menjelajahi kota dalam aksi akrobatik dan pertarungan cepat.
282;Gradius V;Shoot 'em up;PlayStation 2;5 Agustus 2004 (JP);Konami;Inggris;Game klasik tembak-tembakan luar angkasa dengan peningkatan grafis dan gameplay taktis.
283;Onimusha 3: Demon Siege;Action, Hack and Slash;PlayStation 2;27-Apr-04;Capcom;Inggris;Samonosuke dan Jacques Blanc dari masa depan bekerja sama untuk menghentikan pasukan iblis di dua era berbeda.
284;Okami;Action-Adventure;PlayStation 2;20 April 2006 (JP);Capcom;Inggris;Bermain sebagai dewi matahari Amaterasu dalam wujud serigala putih, kamu memulihkan dunia yang rusak dengan kuas sakral.
285;God Hand;Action, Beat 'em up;PlayStation 2;14 September 2006 (JP);Capcom;Inggris;Game aksi kocak dan brutal dengan sistem pertarungan tangan kosong penuh kombo dan gaya old-school.
286;Black;First-Person Shooter;PlayStation 2, Xbox;28 Februari 2006;Electronic Arts;Inggris;FPS sinematik dengan destruksi lingkungan realistis dan gameplay intens penuh aksi tembakan.
287;Shadow Hearts: From the New World;RPG;PlayStation 2;28 Juli 2005 (JP);Nautilus;Inggris;Lanjutan dari seri Shadow Hearts, kali ini berlatar di Amerika dengan kombinasi RPG dan elemen horor.
288;Bully;Action-Adventure;PlayStation 2;17 Oktober 2006;Rockstar Games;Inggris;Bermain sebagai remaja nakal Jimmy di sekolah asrama Bullworth, lakukan misi, berkelahi, dan berurusan dengan guru serta geng.
289;Tomb Raider: Legend;Action-Adventure;PS2, PSP, PS3, Xbox, PC;07-Apr-06;Eidos Interactive;Inggris;Lara Croft kembali dalam reboot seri Tomb Raider dengan gameplay modern dan narasi baru tentang masa lalunya.
290;Guitar Hero;Rhythm, Music;PlayStation 2;08-Nov-05;RedOctane / Harmonix;Inggris;Rasakan sensasi bermain gitar dalam konser rock dengan kontroler gitar dan lagu-lagu ikonik.
291;Genji: Dawn of the Samurai;Action, Hack and Slash;PlayStation 2;30 Juni 2005 (JP);Sony Computer Entertainment;Inggris;Game aksi berlatar Jepang klasik dengan karakter utama yang terinspirasi dari kisah heroik samurai dan artefak mistis.
292;Rogue Galaxy;RPG;PlayStation 2;8 Desember 2005 (JP);Level-5;Inggris;Petualangan luar angkasa dengan pertarungan real-time dan grafis cel-shaded yang menarik.
293;The Warriors;Action, Beat 'em up;PlayStation 2, Xbox;17 Oktober 2005;Rockstar Games;Inggris;Berdasarkan film klasik, kamu memimpin geng jalanan “The Warriors” melarikan diri dari kota yang penuh kekacauan dan kekerasan.
294;Ratchet: Deadlocked;Action, Shooter;PlayStation 2;25 Oktober 2005;Sony Computer Entertainment;Inggris;Ratchet terjebak dalam acara gladiator antargalaksi dan harus bertahan hidup melalui pertarungan brutal.
295;OutRun 2006: Coast 2 Coast;Racing;PlayStation 2, PSP;11-Apr-06;Sega;Inggris;Game balap arcade klasik dengan grafis modern dan gameplay penuh gaya serta rute bercabang.
296;Soulcalibur III;Fighting;PlayStation 2;25 Oktober 2005;Namco;Inggris;Pertarungan epik dengan beragam senjata dan mode pembuatan karakter unik dalam seri Soulcalibur.
297;Dragon Quest VIII;RPG;PlayStation 2;27 November 2004 (JP);Square Enix;Inggris;Petualangan klasik RPG Jepang dengan grafis cel-shaded dan dunia luas yang bisa dijelajahi.
298;Prince of Persia: The Two Thrones;Action-Adventure;PlayStation 2, Xbox, PC;1 Desember 2005;Ubisoft;Inggris;Pangeran kembali ke Babylon dan menghadapi sisi gelap dirinya dalam kisah penutup trilogi.
299;Psychonauts;Platformer, Adventure;PlayStation 2, Xbox, PC;19-Apr-05;Majesco / Double Fine;Inggris;Game platform penuh kreativitas dengan dunia di dalam pikiran karakter-karakter eksentrik.
300;Tales of Legendia;RPG;PlayStation 2;25 Agustus 2005 (JP);Namco;Inggris;JRPG dengan sistem pertarungan real-time dan cerita emosional yang mengangkat tema keluarga dan identitas.
301;FlatOut 2;Racing, Destruction;PlayStation 2, Xbox, PC;30 Juni 2006;Empire Interactive;Inggris;Game balapan penuh kekacauan dengan tabrakan, nitro, dan mode stunt yang menantang.
302;Valkyrie Profile: Lenneth;RPG;PSP;27 Maret 2006 (JP);Square Enix;Inggris;Port dari game klasik PS1, kamu berperan sebagai Valkyrie yang merekrut jiwa pahlawan untuk Ragnarok.
303;Daxter;Platformer, Action;PSP;14 Maret 2006;Sony Computer Entertainment;Inggris;Spin-off dari seri Jak and Daxter, Daxter memulai petualangan sendiri membersihkan hama dan melawan robot.
304;The Godfather: The Game;Action-Adventure;PS2, Xbox, PC;21 Maret 2006;Electronic Arts;Inggris;Berdasarkan film legendaris, kamu naik kasta dalam dunia mafia melalui misi dan negosiasi brutal.
305;Liberty City Stories;Action, Open World;PSP, PS2;24 Oktober 2005;Rockstar Games;Inggris;Prekuel dari GTA III, mengeksplorasi dunia kejahatan Liberty City dengan kontrol dan cerita baru.
306;Tekken 5;Fighting;PlayStation 2;24 Februari 2005;Namco;Inggris;Seri legendaris kembali dengan roster besar dan mode Arcade History menampilkan game Tekken klasik.
307;Killer7;Action, Rail Shooter;PlayStation 2, GameCube;7 Juli 2005 (JP);Capcom;Inggris;Game bergaya unik dengan narasi surealis tentang pembunuh berkepribadian ganda melawan organisasi misterius.
308;Ys: The Ark of Napishtim;RPG;PlayStation 2, PSP;23 Februari 2005 (JP);Konami;Inggris;RPG aksi klasik Jepang dengan protagonis Adol dalam eksplorasi pulau misterius dan pertempuran cepat.
309;Manhunt 2;Stealth, Horror;PSP, PS2, Wii;29 Oktober 2007*;Rockstar Games;Inggris;(*rencana rilis 2006, tertunda) Seorang tahanan rumah sakit jiwa berusaha kabur dengan jalan kekerasan brutal.
310;Marvel: Ultimate Alliance;Action RPG;PS2, PSP, PS3, Xbox;24 Oktober 2006;Activision;Inggris;Kumpulkan tim superhero Marvel dan bertarung bersama untuk menghentikan ancaman global dari Doctor Doom.
311;Winning Eleven 9;Sports, Soccer;PlayStation 2, PC;4 Agustus 2005 (JP);Konami;Inggris;Versi internasional dari Pro Evolution Soccer 5 dengan gameplay realistis dan tim-tim top dunia.
312;Monster Hunter Freedom;Action RPG;PSP;1 Desember 2005 (JP);Capcom;Inggris;Berburu monster raksasa dan kumpulkan loot untuk membuat senjata serta armor lebih kuat.
313;Viewtiful Joe: Red Hot Rumble;Fighting;PSP, GameCube;24 Mei 2005 (JP);Capcom;Inggris;Spin-off dari seri Viewtiful Joe, bertarung dalam arena cepat dengan kekuatan sinematik.
314;Rogue Galaxy;RPG;PlayStation 2;8 Desember 2005 (JP);Sony Computer Entertainment;Inggris;JRPG epik luar angkasa dengan dunia luas dan pertarungan real-time.
315;Black;Shooter;PlayStation 2, Xbox;28 Februari 2006;Electronic Arts;Inggris;FPS penuh ledakan dan kehancuran dengan efek suara dan visual realistis.
316;NBA 2K6;Sports (Basketball);PS2, Xbox, Xbox 360;26-Sep-05;2K Sports;Inggris;Simulasi basket dengan grafis realistis dan gameplay kompetitif.
317;Shin Megami Tensei: Digital Devil Saga 2;RPG;PlayStation 2;13 Januari 2005 (JP);Atlus;Inggris;Melanjutkan kisah misterius protagonis yang berubah bentuk dalam dunia post-apokaliptik.
318;Capcom Classics Collection;Compilation;PlayStation 2, Xbox;27-Sep-05;Capcom;Inggris;Kompilasi game arcade klasik Capcom dari era 80-an dan 90-an.
319;Killzone: Liberation;Shooter, Tactical;PSP;31 Oktober 2006;Guerrilla Games;Inggris;Spin-off top-down shooter dari seri Killzone dengan misi taktis dan gameplay cepat.
320;WWE SmackDown! vs. Raw 2006;Sports (Wrestling);PS2, PSP;11-Nov-05;THQ;Inggris;Wrestling realistis dengan roster besar dan mode karier yang mendalam.
321;SOCOM U.S. Navy SEALs: Fireteam Bravo;Tactical Shooter;PSP;08-Nov-05;Sony Computer Entertainment;Inggris;Taktik dan strategi penting dalam operasi militer global dengan unit SEAL.
322;Monster Kingdom: Jewel Summoner;RPG;PSP;23 Februari 2006 (JP);Sony Computer Entertainment;Inggris;RPG dengan sistem pertarungan berbasis monster dan grafis elegan untuk handheld.
323;Urban Reign;Beat 'em up;PlayStation 2;13-Sep-05;Namco;Inggris;Game pertarungan jalanan dari kreator Tekken dengan hingga 2 pemain co-op.
324;LocoRoco;Puzzle, Platformer;PSP;20 Juli 2006 (JP);Sony Computer Entertainment;Inggris;Kontrol dunia, bukan karakter—gelindingkan makhluk lucu LocoRoco melalui teka-teki fisika berwarna-warni.
325;Ace Combat Zero: The Belkan War;Flight, Action;PlayStation 2;23 Maret 2006 (JP);Namco;Inggris;Simulasi penerbangan militer dengan cerita yang menggali moralitas dan pengkhianatan.
326;Kingdom Hearts II;Action RPG;PlayStation 2;22 Desember 2005 (JP);Square Enix;Inggris;Kelanjutan petualangan Sora dengan Disney dan karakter Final Fantasy dalam dunia penuh imajinasi.
327;Gun;Action-Adventure;PS2, Xbox, PSP, GameCube, PC;08-Nov-05;Activision;Inggris;Western open-world dengan kisah balas dendam di Wild West.
328;Justice League Heroes;Action RPG;PS2, PSP, Xbox;17 Oktober 2006;Warner Bros. Interactive;Inggris;Game aksi kooperatif dengan superhero DC seperti Superman dan Batman melawan kejahatan besar.
329;Samurai Warriors 2;Hack and Slash;PlayStation 2, Xbox 360;24 Februari 2006 (JP);Koei;Inggris;Lanjutan dari seri Dynasty Warriors Jepang dengan karakter sejarah unik dan pertempuran massal.
330;Harry Potter and the Goblet of Fire;Action-Adventure;PS2, PSP, Xbox, PC;08-Nov-05;Electronic Arts;Inggris;Petualangan berdasarkan film dan novel keempat dengan sihir dan kerja sama.
331;Fight Night Round 3;Sports (Boxing);PS2, PSP, Xbox, PS3;22 Februari 2006;EA Sports;Inggris;Simulasi tinju realistis dengan fisika gerakan dan grafik muka mendetail.
332;Uncharted: Drake's Fortune;Action-Adventure;PlayStation 3;19-Nov-07;Sony Computer Entertainment;Inggris;Ikuti Nathan Drake dalam petualangan pencarian harta karun El Dorado di hutan berbahaya.
333;LittleBigPlanet;Platform, Puzzle;PlayStation 3;27 Oktober 2008;Sony Computer Entertainment;Inggris;Game kreatif dengan level buatan pemain dan kontrol karakter lucu bernama Sackboy.
334;Patapon;Rhythm, Strategy;PSP;20 Desember 2007 (JP);Sony Computer Entertainment;Inggris;Pimpin pasukan Patapon dengan ritme genderang untuk melawan monster dan menaklukkan dunia.
335;MotorStorm;Racing;PlayStation 3;6 Maret 2007;Sony Computer Entertainment;Inggris;Balapan off-road brutal di berbagai kendaraan dalam lingkungan ekstrem.
336;Ratchet & Clank Future: Tools of Destruction;Platform, Shooter;PlayStation 3;23 Oktober 2007;Sony Computer Entertainment;Inggris;Petualangan baru dengan humor khas dan senjata gila dalam dunia sci-fi luas.
337;Crisis Core: Final Fantasy VII;Action RPG;PSP;13 September 2007 (JP);Square Enix;Inggris;Prekuel kisah Cloud dan Zack dalam dunia Final Fantasy VII yang penuh tragedi dan pengorbanan.
338;Burnout Paradise;Racing, Open World;PlayStation 3;22 Januari 2008;Electronic Arts;Inggris;Dunia balapan terbuka dengan tabrakan epik dan kebebasan eksplorasi.
339;Resistance: Fall of Man;First-Person Shooter;PlayStation 3;11-Nov-06;Insomniac Games;Inggris;Dunia alternatif di mana alien brutal menggantikan Perang Dunia II di Eropa.
340;Jeanne d'Arc;Tactical RPG;PSP;22 November 2006 (JP);Level-5;Inggris;Taktik fantasi terinspirasi kisah Joan of Arc melawan invasi iblis di Perancis abad pertengahan.
341;Heavenly Sword;Action, Hack & Slash;PlayStation 3;12-Sep-07;Sony Computer Entertainment;Inggris;Seorang prajurit wanita menggunakan pedang legendaris dengan kekuatan luar biasa untuk menyelamatkan bangsanya.
342;Metal Gear Solid: Portable Ops;Action, Stealth;PSP;5 Desember 2006;Konami;Inggris;Snake membentuk unit tentara bayaran dan menyusup ke wilayah musuh untuk mencegah konflik nuklir.
343;Persona 3 FES;RPG;PlayStation 2;22-Apr-08;Atlus;Inggris;"Eksplorasi dunia supernatural selama ""Dark Hour"" dengan sistem pertarungan berbasis giliran dan cerita emosional."
344;God of War: Chains of Olympus;Action-Adventure;PSP;4 Maret 2008;Sony Computer Entertainment;Inggris;Kratos kembali dalam prekuel yang mengisahkan pengabdiannya kepada para dewa Olympus.
345;Folklore;Action RPG;PlayStation 3;9 Oktober 2007;Sony Computer Entertainment;Inggris;Petualangan misterius di dunia arwah dengan sistem pertarungan berbasis makhluk supranatural.
346;The Simpsons Game;Action-Adventure;PS2, PSP, PS3;30 Oktober 2007;Electronic Arts;Inggris;Keluarga Simpsons menyadari mereka berada dalam video game dan berusaha keluar dari berbagai parodi dunia game.
347;SOCOM: U.S. Navy SEALs Tactical Strike;Tactical Shooter;PSP;06-Nov-07;Sony Computer Entertainment;Inggris;Kendalikan unit SEAL dalam misi taktis real-time untuk menyelesaikan operasi militer rahasia.
348;LocoRoco 2;Platform, Puzzle;PSP;4 Desember 2008 (JP);Sony Computer Entertainment;Inggris;Petualangan baru para LocoRoco yang lucu dalam menghadapi ancaman baru yang berbahaya.
349;Silent Hill: Origins;Survival Horror;PSP, PS2;06-Nov-07;Konami;Inggris;Mengungkap asal-usul kota menyeramkan Silent Hill dengan atmosfer horor yang mencekam.
350;Valkyria Chronicles;Tactical RPG;PlayStation 3;31 Oktober 2008 (JP);Sega;Inggris;Pertempuran strategi dalam latar dunia alternatif yang terinspirasi Perang Dunia II dengan visual bergaya anime.
351;MX vs. ATV Untamed;Racing;PS2, PSP, PS3;17 Desember 2007;THQ;Inggris;Balapan off-road dengan berbagai kendaraan seperti motorcross, ATV, dan buggy dalam lintasan ekstrem.
352;NBA 2K8;Sports, Basketball;PS2, PS3;2 Oktober 2007;2K Sports;Inggris;Simulasi bola basket dengan gameplay realistis dan kontrol yang ditingkatkan dari seri sebelumnya.
353;Beowulf: The Game;Action-Adventure;PS3, PSP;13-Nov-07;Ubisoft;Inggris;Berdasarkan film Beowulf, pemain mengendalikan prajurit legendaris melawan monster mitologis.
354;Medal of Honor: Heroes 2;First-Person Shooter;PSP;13-Nov-07;Electronic Arts;Inggris;Bertempur dalam Perang Dunia II sebagai pasukan khusus yang menyusup ke wilayah musuh.
355;Naruto: Ultimate Ninja 3;Fighting;PlayStation 2;25 Maret 2008;Namco Bandai;Inggris;Pertarungan penuh aksi antar ninja dengan cerita berdasarkan anime Naruto dan banyak karakter ikonik.
356;Juiced 2: Hot Import Nights;Racing;PS2, PS3, PSP;17-Sep-07;THQ;Inggris;Balapan jalanan dengan modifikasi mobil dan gaya hidup otomotif malam hari.
357;FlatOut: Head On;Racing, Demolition;PSP;12 Maret 2008;Empire Interactive;Inggris;Game balapan destruktif penuh kekacauan dan mode stunt yang unik.
358;Yakuza 2;Action, Beat 'em up;PlayStation 2;5 Desember 2006 (JP), 9 September 2008 (NA);Sega;Inggris;Kisah balas dendam dan konflik geng kriminal di Jepang dengan pertarungan jalanan yang seru.
359;Tony Hawk's Proving Ground;Sports, Skateboarding;PS2, PS3, PSP;15 Oktober 2007;Activision;Inggris;Menjadi skater profesional dengan gaya bebas atau mengikuti jalur karier dalam dunia skating.
360;Sega Rally Revo;Racing;PS3, PSP;28-Sep-07;Sega;Inggris;Balapan reli dengan lingkungan yang berubah secara dinamis dan kendaraan off-road.
361;Manhunt 2;Action, Stealth;PlayStation 2, PSP;29 Oktober 2007;Rockstar Games;Inggris;Game horor kontroversial yang menyoroti psikologi karakter utama dalam pelarian dari institusi gila.
362;Ratchet & Clank: Size Matters;Action, Platformer;PSP, PS2;13 Februari 2007;Sony Computer Entertainment;Inggris;Petualangan Ratchet dan Clank dimulai dari liburan yang kacau menjadi misi penyelamatan penuh aksi di galaksi.
363;NBA Street Homecourt;Sports, Basketball;PS3;20 Februari 2007;EA Sports BIG;Inggris;Permainan bola basket jalanan dengan gaya spektakuler dan grafis generasi baru.
364;Puzzle Quest: Challenge of the Warlords;Puzzle, RPG;PSP;22 Oktober 2007;D3 Publisher;Inggris;Kombinasi unik puzzle match-3 dengan elemen RPG dan pertempuran strategi.
365;Patapon;Rhythm, Strategy;PSP;20 Desember 2007 (JP);Sony Computer Entertainment;Inggris;Pimpin pasukan suku prasejarah dengan mengatur ritme drum untuk menyerang, bertahan, dan mengeksplorasi dunia.
366;Virtua Fighter 5;Fighting;PS3;20 Februari 2007;Sega;Inggris;Seri pertarungan klasik dengan sistem teknik yang mendalam dan karakter ikonik.
367;Jeanne d'Arc;Tactical RPG;PSP;21 Agustus 2007;Sony Computer Entertainment;Inggris;Kisah alternatif Jeanne d’Arc dengan taktik peperangan fantasi di Prancis abad pertengahan.
368;Tom Clancy's Rainbow Six: Vegas;Tactical Shooter;PS3;26 Juni 2007;Ubisoft;Inggris;Tim elite Rainbow Six menyusup ke Las Vegas untuk menghentikan ancaman teroris besar-besaran.
369;The Warriors;Beat 'em up;PSP;28 Februari 2007;Rockstar Games;Inggris;Adaptasi dari film kultus tentang geng jalanan yang berjuang bertahan hidup di jalanan New York.
370;UEFA Euro 2008;Sports, Soccer;PS2, PS3, PSP;18-Apr-08;EA Sports;Inggris;Simulasi turnamen sepak bola UEFA Euro 2008 dengan berbagai mode permainan dan tim nasional.
371;Taito Legends Power-Up;Arcade Compilation;PSP;14 Maret 2007;Empire Interactive;Inggris;Kompilasi dari game-game klasik arcade seperti Space Invaders dan Bubble Bobble dalam satu paket nostalgia.
372;MotoGP 07;Racing, Sports;PS2;28 Agustus 2007;Capcom;Inggris;Simulasi balapan motor resmi dengan sirkuit dunia nyata dan pembalap terkenal.
373;Def Jam: Icon;Fighting;PS3;6 Maret 2007;Electronic Arts;Inggris;Gabungkan musik hip-hop dengan pertarungan jalanan penuh gaya dan beat interaktif.
374;Ridge Racer 2;Racing, Arcade;PSP;13 Februari 2007;Namco Bandai;Inggris;Balapan kecepatan tinggi dengan efek drift yang khas dan trek futuristik.
375;The Simpsons Game;Action, Platformer;PS2, PS3, PSP;30 Oktober 2007;Electronic Arts;Inggris;Keluarga Simpsons menyadari mereka ada dalam video game dan gunakan kekuatan khusus untuk menyelamatkan dunia digital.
376;SOCOM: U.S. Navy SEALs Tactical Strike;Tactical Shooter;PSP;06-Nov-07;Sony Computer Entertainment;Inggris;Kendalikan satu skuad SEAL dalam misi strategis dengan sistem komando real-time yang mendalam.
377;Heavy Rain;Interactive Drama;PS3;23 Februari 2010;Sony Computer Entertainment;Inggris;Thriller psikologis di mana pilihan pemain menentukan nasib karakter dalam pengejaran seorang pembunuh berantai.
378;ModNation Racers;Racing, Kart;PS3, PSP;25 Mei 2010;Sony Computer Entertainment;Inggris;Game balap kart kustomisasi tinggi di mana pemain bisa membuat trek, kendaraan, dan pembalap sendiri.
379;3D Dot Game Heroes;Action RPG;PS3;11 Mei 2010;Atlus;Inggris;Petualangan bergaya retro 8-bit dalam dunia voxel 3D yang menyerupai game klasik Zelda.
380;LittleBigPlanet PSP;Platformer, Puzzle;PSP;17-Nov-09;Sony Computer Entertainment;Inggris;Versi handheld dari game kreatif ikonik, dengan kemampuan untuk menciptakan dan berbagi level.
